Date,Open,High,Low,Close,Adj Close,Volume
2021-10-29,381.05999755859375,386.2799987792969,380.7000122070313,386.1099853515625,375.5433654785156,37310100.0
2021-11-01,386.55999755859375,387.55999755859375,384.4200134277344,387.4299926757813,376.8271179199219,30765300.0
2021-11-02,386.7999877929688,389.5400085449219,386.75,389.0499877929688,378.4028015136719,25135300.0
2021-11-03,389.5499877929688,393.6099853515625,388.4800109863281,393.1799926757813,382.4198303222656,33748900.0
2021-11-04,394.4800109863281,399.2000122070313,393.9200134277344,398.2200012207031,387.3219299316406,40265300.0
2021-11-05,400.0400085449219,400.989990234375,397.1600036621094,398.6000061035156,387.6915588378906,43383800.0
2021-11-08,398.5700073242188,399.6199951171875,397.3999938964844,398.05999755859375,387.166259765625,29256300.0
2021-11-09,399.1600036621094,399.5700073242188,393.9200134277344,395.3200073242188,384.5011901855469,50490700.0
2021-11-10,392.4700012207031,395.3599853515625,387.5299987792969,389.510009765625,378.8503723144531,54937400.0
2021-11-11,392.5700073242188,392.75,390.239990234375,390.5899963378906,379.9007873535156,32243000.0
2021-11-12,391.7699890136719,395.25,390.1300048828125,394.7000122070313,383.8982543945313,34730600.0
2021-11-15,395.9100036621094,396.239990234375,392.1000061035156,394.6099853515625,383.8106384277344,33716900.0
2021-11-16,393.8599853515625,397.9299926757813,393.6600036621094,397.4200134277344,386.5438537597656,27872900.0
2021-11-17,397.75,399.7200012207031,396.6400146484375,397.6300048828125,386.7480163574219,28703300.0
2021-11-18,399.7300109863281,402.2699890136719,397.4500122070313,401.75,390.7552795410156,45721500.0
2021-11-19,403.4299926757813,405.2999877929688,402.5799865722656,403.989990234375,392.9339904785156,45191700.0
2021-11-22,405.5700073242188,408.7099914550781,399.1900024414063,399.2999877929688,388.3722839355469,61715400.0
2021-11-23,398.1099853515625,400.2300109863281,392.9200134277344,397.4800109863281,386.6021728515625,70098700.0
2021-11-24,394.9299926757813,399.0499877929688,392.5400085449219,398.760009765625,387.8470764160156,46954400.0
2021-11-26,396.1099853515625,397.5400085449219,389.7699890136719,391.2000122070313,380.4939880371094,51533300.0
2021-11-29,395.8900146484375,400.7300109863281,395.1400146484375,399.6900024414063,388.7516479492188,54447100.0
2021-11-30,398.7799987792969,401.1900024414063,391.75,393.8200073242188,383.0423278808594,81332700.0
2021-12-01,398.2799987792969,400.4800109863281,386.6400146484375,387.1199951171875,376.5256958007813,77766500.0
2021-12-02,385.7999877929688,391.739990234375,384.3399963378906,389.9100036621094,379.23931884765625,84416600.0
2021-12-03,391.30999755859375,392.3399963378906,378.8999938964844,383.1300048828125,372.6448669433594,105349100.0
2021-12-06,383.6300048828125,387.6000061035156,379.2999877929688,386.2000122070313,375.6308288574219,67588800.0
2021-12-07,393.0299987792969,398.4599914550781,392.989990234375,397.8299865722656,386.9425964355469,56005300.0
2021-12-08,398.1700134277344,399.8200073242188,396.2200012207031,399.6099853515625,388.67388916015625,39204000.0
2021-12-09,398.3500061035156,400.2000122070313,393.5299987792969,393.7300109863281,382.9548645019531,49973700.0
2021-12-10,396.6199951171875,398.2799987792969,393.3599853515625,398.010009765625,387.11767578125,52545800.0
2021-12-13,398.0,398.3299865722656,391.8800048828125,392.260009765625,381.5249938964844,50166400.0
2021-12-14,387.2999877929688,390.0899963378906,383.6300048828125,388.2000122070313,377.576171875,75199200.0
2021-12-15,387.9400024414063,397.4200134277344,383.8800048828125,397.0499877929688,386.1839294433594,73858000.0
2021-12-16,398.0400085449219,398.4800109863281,385.2099914550781,386.8399963378906,376.2533264160156,82591400.0
2021-12-17,383.3299865722656,389.1900024414063,381.7699890136719,384.9100036621094,374.3761901855469,80492500.0
2021-12-20,379.5700073242188,381.5,377.4700012207031,380.6900024414063,370.7445983886719,65336800.0
2021-12-21,384.0499877929688,389.5299987792969,380.2000122070313,389.2099914550781,379.04193115234375,48899500.0
2021-12-22,388.9100036621094,394.1600036621094,388.2300109863281,393.9500122070313,383.6581726074219,37042200.0
2021-12-23,394.30999755859375,398.4299926757813,394.1400146484375,396.9200134277344,386.5505981445313,29595500.0
2021-12-27,398.25,403.4800109863281,398.2200012207031,403.4800109863281,392.9391784667969,32820700.0
2021-12-28,404.3999938964844,404.5799865722656,400.7099914550781,401.6099853515625,391.1179809570313,33113700.0
2021-12-29,401.75,403.0499877929688,399.1099853515625,401.5499877929688,391.05963134765625,32248500.0
2021-12-30,401.3299865722656,403.5700073242188,399.75,400.3500061035156,389.8910217285156,23850100.0
2021-12-31,399.6600036621094,401.05999755859375,397.3399963378906,397.8500061035156,387.4562683105469,34752900.0
2022-01-03,399.0499877929688,401.9400024414063,396.8800048828125,401.6799926757813,391.186279296875,40575900.0
2022-01-04,402.239990234375,402.2799987792969,393.2900085449219,396.4700012207031,386.11236572265625,58027200.0
2022-01-05,394.739990234375,395.8900146484375,384.0299987792969,384.2900085449219,374.2505187988281,75739800.0
2022-01-06,382.4200134277344,387.3500061035156,380.1300048828125,384.0199890136719,373.9875793457031,70814300.0
2022-01-07,384.0299987792969,385.760009765625,378.0400085449219,379.8599853515625,369.936279296875,72652300.0
2022-01-10,374.8200073242188,380.6400146484375,369.30999755859375,380.1099853515625,370.1797180175781,91770500.0
2022-01-11,379.3599853515625,385.989990234375,377.2200012207031,385.8200073242188,375.7405395507813,68295700.0
2022-01-12,388.4599914550781,390.2000122070313,385.010009765625,387.3500061035156,377.2306213378906,54576400.0
2022-01-13,388.7699890136719,389.4700012207031,376.7000122070313,377.6600036621094,367.7937927246094,77994000.0
2022-01-14,375.0700073242188,380.3500061035156,374.8599853515625,380.010009765625,370.0823974609375,80121200.0
2022-01-18,374.0400085449219,376.2200012207031,369.7699890136719,370.5499877929688,360.8694763183594,75450900.0
2022-01-19,372.1499938964844,374.6900024414063,366.2099914550781,366.4800109863281,356.9057922363281,81791500.0
2022-01-20,369.7900085449219,373.8699951171875,361.1700134277344,361.7200012207031,352.27020263671875,88610700.0
2022-01-21,359.4700012207031,362.1799926757813,351.3999938964844,351.69000244140625,342.5022888183594,143388900.0
2022-01-24,345.9100036621094,353.9800109863281,334.1499938964844,353.29998779296875,344.07012939453125,198685800.0
2022-01-25,346.6700134277344,351.0299987792969,341.67999267578125,345.1099853515625,336.09405517578125,124398400.0
2022-01-26,352.9100036621094,356.8800048828125,340.7799987792969,344.57000732421875,335.5682373046875,146559500.0
2022-01-27,349.3999938964844,351.2699890136719,340.04998779296875,341.1000061035156,332.1888427734375,95255700.0
2022-01-28,343.0299987792969,352.0199890136719,337.95001220703125,351.79998779296875,342.6092834472656,108167900.0
2022-01-31,353.20001220703125,363.6499938964844,351.5199890136719,363.0499877929688,353.5654296875,94326400.0
2022-02-01,364.4299926757813,366.1900024414063,359.1400146484375,365.5199890136719,355.9708557128906,74433000.0
2022-02-02,369.760009765625,370.1000061035156,364.2900085449219,368.489990234375,358.8632507324219,78777100.0
2022-02-03,358.5299987792969,361.9299926757813,352.4599914550781,353.54998779296875,344.31353759765625,95384800.0
2022-02-04,354.0799865722656,361.3999938964844,351.9700012207031,358.010009765625,348.6571044921875,86318300.0
2022-02-07,358.6199951171875,361.0499877929688,353.8399963378906,355.1300048828125,345.8522644042969,58198100.0
2022-02-08,353.9599914550781,360.239990234375,352.79998779296875,359.1199951171875,349.738037109375,64720900.0
2022-02-09,363.760009765625,366.80999755859375,362.1199951171875,366.7300109863281,357.1493530273437,55766400.0
2022-02-10,359.5199890136719,366.489990234375,356.5400085449219,358.42999267578125,349.0660705566406,112468500.0
2022-02-11,358.42999267578125,360.07000732421875,345.79998779296875,347.0599975585937,337.9931945800781,101569100.0
2022-02-14,346.489990234375,350.9800109863281,343.8900146484375,347.489990234375,338.41192626953125,80254400.0
2022-02-15,352.9100036621094,356.3699951171875,351.82000732421875,356.1300048828125,346.8261108398437,55128800.0
2022-02-16,353.82000732421875,357.0899963378906,350.7099914550781,356.0400085449219,346.7386169433594,58947100.0
2022-02-17,352.739990234375,353.4599914550781,345.0199890136719,345.45001220703125,336.4251708984375,61801400.0
2022-02-18,346.4100036621094,346.8099975585937,339.1400146484375,341.510009765625,332.5881042480469,80001500.0
2022-02-22,338.489990234375,344.0400085449219,334.3500061035156,338.0799865722656,329.2477111816406,85967100.0
2022-02-23,341.32000732421875,342.17999267578125,329.1000061035156,329.4200134277344,320.8140563964844,86215400.0
2022-02-24,318.8399963378906,341.0400085449219,318.260009765625,340.489990234375,331.5947570800781,130614100.0
2022-02-25,341.3099975585937,345.9800109863281,337.3900146484375,345.7699890136719,336.7368469238281,78842100.0
2022-02-28,342.510009765625,348.5400085449219,341.32000732421875,346.79998779296875,337.73992919921875,77515500.0
2022-03-01,345.75,348.0799865722656,338.8999938964844,341.489990234375,332.5686340332031,67407000.0
2022-03-02,343.0799865722656,348.5899963378906,340.239990234375,347.2200012207031,338.1489562988281,70609000.0
2022-03-03,349.92999267578125,350.0400085449219,340.3500061035156,342.260009765625,333.3185729980469,71089400.0
2022-03-04,339.8399963378906,341.3099975585937,334.9200134277344,337.29998779296875,328.4880676269531,76936300.0
2022-03-07,337.2900085449219,338.4800109863281,324.6499938964844,324.8599853515625,316.3730773925781,89933800.0
2022-03-08,324.04998779296875,333.2099914550781,319.94000244140625,323.3500061035156,314.9024963378906,116153900.0
2022-03-09,331.75,336.3800048828125,329.0899963378906,334.989990234375,326.238525390625,64723400.0
2022-03-10,330.82000732421875,332.510009765625,326.7099914550781,331.2699890136719,322.6156311035156,69362700.0
2022-03-11,334.32000732421875,334.6400146484375,323.8999938964844,324.3999938964844,315.9252014160156,66228400.0
